#GEO Sample Accession # = 
#Patient ID = 
#Affy platform = 
GEO Sample Accession #	Patient ID	Affy platform
GSM79114	X100B08	HG-U133A
GSM79115	X101B88	HG-U133A
GSM79116	X102B06	HG-U133A
GSM79117	X103B41	HG-U133A
GSM79118	X104B91	HG-U133A
GSM79119	X105B13	HG-U133A
GSM79120	X106B55	HG-U133A
GSM79121	X10B88	HG-U133A
GSM79122	X110B34	HG-U133A
GSM79123	X111B51	HG-U133A
GSM79124	X112B55	HG-U133A
GSM79125	X113B11	HG-U133A
GSM79126	X114B68	HG-U133A
GSM79127	X11B47	HG-U133A
GSM79128	X120B73	HG-U133A
GSM79129	X122B81	HG-U133A
GSM79130	X124B25	HG-U133A
GSM79131	X127B00	HG-U133A
GSM79132	X128B48	HG-U133A
GSM79133	X130B92	HG-U133A
GSM79134	X131B79	HG-U133A
GSM79135	X134B33	HG-U133A
GSM79136	X135B40	HG-U133A
GSM79137	X136B04	HG-U133A
GSM79138	X137B88	HG-U133A
GSM79139	X138B34	HG-U133A
GSM79140	X139B03	HG-U133A
GSM79141	X13B79	HG-U133A
GSM79142	X140B91	HG-U133A
GSM79143	X142B05	HG-U133A
GSM79144	X143B81	HG-U133A
GSM79145	X144B49	HG-U133A
GSM79146	X145B10	HG-U133A
GSM79147	X146B39	HG-U133A
GSM79148	X147B19	HG-U133A
GSM79149	X148B49	HG-U133A
GSM79150	X14B98	HG-U133A
GSM79151	X150B81	HG-U133A
GSM79152	X151B84	HG-U133A
GSM79153	X152B99	HG-U133A
GSM79154	X153B09	HG-U133A
GSM79155	X154B42	HG-U133A
GSM79156	X155B52	HG-U133A
GSM79157	X156B01	HG-U133A
GSM79158	X158B84	HG-U133A
GSM79159	X159B47	HG-U133A
GSM79160	X15C94	HG-U133A
GSM79161	X160B16	HG-U133A
GSM79162	X161B31	HG-U133A
GSM79163	X162B98	HG-U133A
GSM79164	X163B27	HG-U133A
GSM79165	X164B81	HG-U133A
GSM79166	X165B72	HG-U133A
GSM79167	X166B79	HG-U133A
GSM79168	X168B51	HG-U133A
GSM79169	X169B79	HG-U133A
GSM79170	X16C97	HG-U133A
GSM79171	X170B15	HG-U133A
GSM79172	X171B77	HG-U133A
GSM79173	X172B19	HG-U133A
GSM79174	X173B43	HG-U133A
GSM79175	X174B41	HG-U133A
GSM79176	X175B72	HG-U133A
GSM79177	X176B74	HG-U133A
